probe_id,computed_answer,target,gap_mm,growth_mm,severity
liver_1_lesion4_lung_middle_lobe_right_g11.8,no,lung_middle_lobe_right,15.23,11.8,L2
liver_1_lesion4_sternum_g37.5,yes,sternum,34.98,37.5,L1
liver_1_lesion1_lung_lower_lobe_right_g15.7,no,lung_lower_lobe_right,24.38,15.7,L2
liver_10_lesion3_inferior_vena_cava_g38.7,yes,inferior_vena_cava,34.66,38.7,L5
liver_10_lesion5_gallbladder_g19.2,yes,gallbladder,12.41,19.2,L3
liver_100_lesion2_pancreas_g13.7,no,pancreas,16.15,13.7,L4
liver_103_lesion1_heart_g28.5,no,heart,34.96,28.5,L5
liver_103_lesion1_adrenal_gland_right_g45.5,yes,adrenal_gland_right,39.75,45.5,L4
liver_110_lesion1_portal_vein_and_splenic_vein_g23.3,no,portal_vein_and_splenic_vein,34.75,23.3,L5
liver_113_lesion2_vertebrae_T10_g34.9,yes,vertebrae_T10,31.67,34.9,L1
liver_123_lesion3_lung_middle_lobe_right_g38.2,yes,lung_middle_lobe_right,32.4,38.2,L2
liver_123_lesion4_heart_g39.4,yes,heart,36.94,39.4,L5
liver_129_lesion6_lung_lower_lobe_right_g17.6,yes,lung_lower_lobe_right,14.85,17.6,L2
liver_129_lesion3_sternum_g18.5,yes,sternum,12.68,18.5,L1
liver_16_lesion3_vertebrae_T10_g25.2,no,vertebrae_T10,32.29,25.2,L1
liver_19_lesion2_portal_vein_and_splenic_vein_g31,yes,portal_vein_and_splenic_vein,25.87,31.0,L5
liver_20_lesion1_sternum_g23.8,no,sternum,33.76,23.8,L1
liver_21_lesion1_lung_middle_lobe_right_g41.5,yes,lung_middle_lobe_right,38.01,41.5,L2
liver_26_lesion1_esophagus_g25.1,no,esophagus,35.39,25.1,L4
liver_27_lesion5_portal_vein_and_splenic_vein_g2.3,no,portal_vein_and_splenic_vein,4.67,2.3,L5
liver_27_lesion2_stomach_g9.7,yes,stomach,7.62,9.7,L3
liver_36_lesion1_duodenum_g27,no,duodenum,38.85,27.0,L3
liver_4_lesion7_lung_middle_lobe_right_g17.9,no,lung_middle_lobe_right,20.25,17.9,L2
liver_50_lesion1_duodenum_g44,yes,duodenum,40.0,44.0,L3
liver_53_lesion2_kidney_right_g31.6,yes,kidney_right,25.0,31.6,L4
liver_61_lesion1_kidney_right_g14.9,no,kidney_right,20.0,14.9,L4
liver_62_lesion1_duodenum_g4.8,no,duodenum,7.76,4.8,L3
liver_70_lesion2_vertebrae_T10_g28.9,yes,vertebrae_T10,26.88,28.9,L1
liver_78_lesion2_lung_lower_lobe_right_g28.6,yes,lung_lower_lobe_right,26.12,28.6,L2
liver_85_lesion2_kidney_right_g21.9,yes,kidney_right,19.42,21.9,L4
liver_90_lesion4_kidney_right_g5,yes,kidney_right,2.48,5.0,L4
liver_93_lesion15_gallbladder_g33.5,yes,gallbladder,31.02,33.5,L3
liver_96_lesion3_vertebrae_T10_g31.7,no,vertebrae_T10,34.67,31.7,L1
liver_99_lesion6_inferior_vena_cava_g22.3,yes,inferior_vena_cava,19.78,22.3,L5
liver_99_lesion11_duodenum_g20.3,no,duodenum,25.54,20.3,L3
lung_006_lesion1_lung_upper_lobe_right_g24.3,no,lung_upper_lobe_right,34.33,24.3,L2
lung_010_lesion2_vertebrae_T10_g27.6,yes,vertebrae_T10,25.1,27.6,L1
lung_010_lesion1_aorta_g20.2,yes,aorta,14.37,20.2,L5
lung_010_lesion1_vertebrae_T9_g6.8,no,vertebrae_T9,10.79,6.8,L1
lung_022_lesion1_trachea_g21.4,yes,trachea,17.93,21.4,L4
lung_022_lesion1_liver_g4,no,liver,6.88,4.0,L3
lung_022_lesion1_vertebrae_T8_g28.5,yes,vertebrae_T8,23.55,28.5,L1
lung_023_lesion1_aorta_g13.2,yes,aorta,7.42,13.2,L5
lung_026_lesion1_sternum_g1,no,sternum,3.54,1.0,L1
lung_026_lesion1_esophagus_g40.7,yes,esophagus,37.45,40.7,L4
lung_036_lesion1_stomach_g11.3,no,stomach,17.44,11.3,L3
lung_036_lesion1_liver_g41,yes,liver,36.97,41.0,L3
lung_041_lesion1_lung_middle_lobe_right_g19.3,yes,lung_middle_lobe_right,15.81,19.3,L2
lung_041_lesion1_trachea_g1,no,trachea,2.46,1.0,L4
lung_041_lesion1_spinal_cord_g11.7,no,spinal_cord,15.93,11.7,L5
lung_042_lesion1_lung_middle_lobe_right_g24.9,yes,lung_middle_lobe_right,20.0,24.9,L2
lung_044_lesion1_lung_upper_lobe_left_g1.8,no,lung_upper_lobe_left,4.47,1.8,L2
lung_045_lesion1_vertebrae_T9_g19.2,no,vertebrae_T9,29.19,19.2,L1
lung_045_lesion1_spinal_cord_g24.4,no,spinal_cord,34.47,24.4,L5
lung_049_lesion1_esophagus_g26.5,no,esophagus,38.13,26.5,L4
lung_055_lesion1_trachea_g19,no,trachea,24.45,19.0,L4
lung_064_lesion1_lung_lower_lobe_left_g19.8,no,lung_lower_lobe_left,25.77,19.8,L2
lung_069_lesion1_heart_g1.4,no,heart,3.94,1.4,L5
lung_074_lesion1_sternum_g20.9,yes,sternum,15.12,20.9,L1
lung_083_lesion1_liver_g18.9,no,liver,27.96,18.9,L3
pancreas_016_lesion1_portal_vein_and_splenic_vein_g15.2,no,portal_vein_and_splenic_vein,22.5,15.2,L5
pancreas_021_lesion2_kidney_right_g42.3,yes,kidney_right,39.8,42.3,L4
pancreas_045_lesion1_lung_lower_lobe_left_g21.2,no,lung_lower_lobe_left,31.94,21.2,L2
pancreas_046_lesion1_duodenum_g1,no,duodenum,3.91,1.0,L3
pancreas_093_lesion1_adrenal_gland_right_g29.9,yes,adrenal_gland_right,26.61,29.9,L4
pancreas_096_lesion1_adrenal_gland_left_g27.1,no,adrenal_gland_left,38.92,27.1,L4
pancreas_179_lesion1_kidney_right_g42.8,yes,kidney_right,38.28,42.8,L4
pancreas_199_lesion1_lung_lower_lobe_left_g28.9,no,lung_lower_lobe_left,33.81,28.9,L2
pancreas_212_lesion1_inferior_vena_cava_g13.1,yes,inferior_vena_cava,9.08,13.1,L5
pancreas_214_lesion1_kidney_left_g27.7,no,kidney_left,34.7,27.7,L4
pancreas_217_lesion1_aorta_g17.9,no,aorta,26.69,17.9,L5
pancreas_222_lesion1_stomach_g27.8,yes,stomach,21.3,27.8,L3
pancreas_235_lesion1_stomach_g8.6,no,stomach,14.6,8.6,L3
pancreas_246_lesion1_aorta_g16.2,yes,aorta,12.95,16.2,L5
pancreas_274_lesion2_inferior_vena_cava_g11.6,yes,inferior_vena_cava,9.14,11.6,L5
pancreas_280_lesion1_small_bowel_g20.9,yes,small_bowel,17.62,20.9,L3
pancreas_364_lesion1_liver_g21.9,no,liver,32.8,21.9,L3
pancreas_380_lesion1_kidney_left_g1.8,no,kidney_left,4.46,1.8,L4
pancreas_391_lesion1_lung_upper_lobe_left_g41.3,yes,lung_upper_lobe_left,37.24,41.3,L2
pancreas_402_lesion1_lung_lower_lobe_left_g44.9,yes,lung_lower_lobe_left,39.16,44.9,L2
pancreas_402_lesion1_portal_vein_and_splenic_vein_g1.5,no,portal_vein_and_splenic_vein,4.24,1.5,L5
pancreas_409_lesion1_lung_lower_lobe_left_g1,no,lung_lower_lobe_left,3.94,1.0,L2
pancreas_409_lesion1_vertebrae_T10_g41.9,yes,vertebrae_T10,36.29,41.9,L1
pancreas_415_lesion1_vertebrae_T10_g42.3,yes,vertebrae_T10,36.68,42.3,L1
colon_001_lesion1_lung_lower_lobe_left_g38.3,yes,lung_lower_lobe_left,34.25,38.3,L2
colon_007_lesion1_pancreas_g42.2,yes,pancreas,38.71,42.2,L4
colon_025_lesion1_kidney_right_g24.7,yes,kidney_right,21.4,24.7,L4
colon_026_lesion1_small_bowel_g2.4,no,small_bowel,5.24,2.4,L3
colon_051_lesion1_small_bowel_g10.3,yes,small_bowel,6.32,10.3,L3
colon_066_lesion1_kidney_right_g10.7,no,kidney_right,14.98,10.7,L4
colon_074_lesion1_lung_lower_lobe_left_g32,yes,lung_lower_lobe_left,28.66,32.0,L2
colon_074_lesion4_kidney_right_g31.9,yes,kidney_right,29.58,31.9,L4
colon_086_lesion1_spleen_g26.5,no,spleen,32.63,26.5,L3
colon_096_lesion1_small_bowel_g22.8,yes,small_bowel,16.99,22.8,L3
colon_111_lesion1_duodenum_g15.8,no,duodenum,23.82,15.8,L3
colon_111_lesion1_portal_vein_and_splenic_vein_g25.2,no,portal_vein_and_splenic_vein,37.34,25.2,L5
colon_115_lesion1_inferior_vena_cava_g26.4,yes,inferior_vena_cava,23.07,26.4,L5
colon_120_lesion1_inferior_vena_cava_g32,no,inferior_vena_cava,38.89,32.0,L5
colon_129_lesion2_inferior_vena_cava_g23.5,yes,inferior_vena_cava,20.76,23.5,L5
colon_141_lesion1_heart_g1.2,no,heart,4.15,1.2,L5
colon_141_lesion1_lung_upper_lobe_left_g18.6,no,lung_upper_lobe_left,22.51,18.6,L2
colon_149_lesion1_kidney_right_g3.6,no,kidney_right,6.57,3.6,L4
colon_171_lesion1_kidney_right_g26.2,no,kidney_right,37.71,26.2,L4
colon_193_lesion1_inferior_vena_cava_g40.4,yes,inferior_vena_cava,36.35,40.4,L5
