probe_id,image,organ,question,reader_answer__yes_no_unsure,clinical_relevance__1to5,severity_tier_shown,severity_agree__yes_no,comment
liver_1_lesion4_lung_middle_lobe_right_g11.8,images/liver_1_lesion4_lung_middle_lobe_right_g11.8.png,Task03_Liver,"If this lesion grew by 11.8 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_1_lesion4_sternum_g37.5,images/liver_1_lesion4_sternum_g37.5.png,Task03_Liver,"If this lesion grew by 37.5 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_1_lesion1_lung_lower_lobe_right_g15.7,images/liver_1_lesion1_lung_lower_lobe_right_g15.7.png,Task03_Liver,"If this lesion grew by 15.7 mm in every direction, would it contact the lung lower lobe right? Answer yes or no.",,,L2,,
liver_10_lesion3_inferior_vena_cava_g38.7,images/liver_10_lesion3_inferior_vena_cava_g38.7.png,Task03_Liver,"If this lesion grew by 38.7 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
liver_10_lesion5_gallbladder_g19.2,images/liver_10_lesion5_gallbladder_g19.2.png,Task03_Liver,"If this lesion grew by 19.2 mm in every direction, would it contact the gallbladder? Answer yes or no.",,,L3,,
liver_100_lesion2_pancreas_g13.7,images/liver_100_lesion2_pancreas_g13.7.png,Task03_Liver,"If this lesion grew by 13.7 mm in every direction, would it contact the pancreas? Answer yes or no.",,,L4,,
liver_103_lesion1_heart_g28.5,images/liver_103_lesion1_heart_g28.5.png,Task03_Liver,"If this lesion grew by 28.5 mm in every direction, would it contact the heart? Answer yes or no.",,,L5,,
liver_103_lesion1_adrenal_gland_right_g45.5,images/liver_103_lesion1_adrenal_gland_right_g45.5.png,Task03_Liver,"If this lesion grew by 45.5 mm in every direction, would it contact the adrenal gland right? Answer yes or no.",,,L4,,
liver_110_lesion1_portal_vein_and_splenic_vein_g23.3,images/liver_110_lesion1_portal_vein_and_splenic_vein_g23.3.png,Task03_Liver,"If this lesion grew by 23.3 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_113_lesion2_vertebrae_T10_g34.9,images/liver_113_lesion2_vertebrae_T10_g34.9.png,Task03_Liver,"If this lesion grew by 34.9 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_123_lesion3_lung_middle_lobe_right_g38.2,images/liver_123_lesion3_lung_middle_lobe_right_g38.2.png,Task03_Liver,"If this lesion grew by 38.2 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_123_lesion4_heart_g39.4,images/liver_123_lesion4_heart_g39.4.png,Task03_Liver,"If this lesion grew by 39.4 mm in every direction, would it contact the heart? Answer yes or no.",,,L5,,
liver_129_lesion6_lung_lower_lobe_right_g17.6,images/liver_129_lesion6_lung_lower_lobe_right_g17.6.png,Task03_Liver,"If this lesion grew by 17.6 mm in every direction, would it contact the lung lower lobe right? Answer yes or no.",,,L2,,
liver_129_lesion3_sternum_g18.5,images/liver_129_lesion3_sternum_g18.5.png,Task03_Liver,"If this lesion grew by 18.5 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_16_lesion3_vertebrae_T10_g25.2,images/liver_16_lesion3_vertebrae_T10_g25.2.png,Task03_Liver,"If this lesion grew by 25.2 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_19_lesion2_portal_vein_and_splenic_vein_g31,images/liver_19_lesion2_portal_vein_and_splenic_vein_g31.png,Task03_Liver,"If this lesion grew by 31 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_20_lesion1_sternum_g23.8,images/liver_20_lesion1_sternum_g23.8.png,Task03_Liver,"If this lesion grew by 23.8 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_21_lesion1_lung_middle_lobe_right_g41.5,images/liver_21_lesion1_lung_middle_lobe_right_g41.5.png,Task03_Liver,"If this lesion grew by 41.5 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_26_lesion1_esophagus_g25.1,images/liver_26_lesion1_esophagus_g25.1.png,Task03_Liver,"If this lesion grew by 25.1 mm in every direction, would it contact the esophagus? Answer yes or no.",,,L4,,
liver_27_lesion5_portal_vein_and_splenic_vein_g2.3,images/liver_27_lesion5_portal_vein_and_splenic_vein_g2.3.png,Task03_Liver,"If this lesion grew by 2.3 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_27_lesion2_stomach_g9.7,images/liver_27_lesion2_stomach_g9.7.png,Task03_Liver,"If this lesion grew by 9.7 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
liver_36_lesion1_duodenum_g27,images/liver_36_lesion1_duodenum_g27.png,Task03_Liver,"If this lesion grew by 27 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
liver_4_lesion7_lung_middle_lobe_right_g17.9,images/liver_4_lesion7_lung_middle_lobe_right_g17.9.png,Task03_Liver,"If this lesion grew by 17.9 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_50_lesion1_duodenum_g44,images/liver_50_lesion1_duodenum_g44.png,Task03_Liver,"If this lesion grew by 44 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
liver_53_lesion2_kidney_right_g31.6,images/liver_53_lesion2_kidney_right_g31.6.png,Task03_Liver,"If this lesion grew by 31.6 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_61_lesion1_kidney_right_g14.9,images/liver_61_lesion1_kidney_right_g14.9.png,Task03_Liver,"If this lesion grew by 14.9 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_62_lesion1_duodenum_g4.8,images/liver_62_lesion1_duodenum_g4.8.png,Task03_Liver,"If this lesion grew by 4.8 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
liver_70_lesion2_vertebrae_T10_g28.9,images/liver_70_lesion2_vertebrae_T10_g28.9.png,Task03_Liver,"If this lesion grew by 28.9 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_78_lesion2_lung_lower_lobe_right_g28.6,images/liver_78_lesion2_lung_lower_lobe_right_g28.6.png,Task03_Liver,"If this lesion grew by 28.6 mm in every direction, would it contact the lung lower lobe right? Answer yes or no.",,,L2,,
liver_85_lesion2_kidney_right_g21.9,images/liver_85_lesion2_kidney_right_g21.9.png,Task03_Liver,"If this lesion grew by 21.9 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_90_lesion4_kidney_right_g5,images/liver_90_lesion4_kidney_right_g5.png,Task03_Liver,"If this lesion grew by 5 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_93_lesion15_gallbladder_g33.5,images/liver_93_lesion15_gallbladder_g33.5.png,Task03_Liver,"If this lesion grew by 33.5 mm in every direction, would it contact the gallbladder? Answer yes or no.",,,L3,,
liver_96_lesion3_vertebrae_T10_g31.7,images/liver_96_lesion3_vertebrae_T10_g31.7.png,Task03_Liver,"If this lesion grew by 31.7 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_99_lesion6_inferior_vena_cava_g22.3,images/liver_99_lesion6_inferior_vena_cava_g22.3.png,Task03_Liver,"If this lesion grew by 22.3 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
liver_99_lesion11_duodenum_g20.3,images/liver_99_lesion11_duodenum_g20.3.png,Task03_Liver,"If this lesion grew by 20.3 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
lung_006_lesion1_lung_upper_lobe_right_g24.3,images/lung_006_lesion1_lung_upper_lobe_right_g24.3.png,Task06_Lung,"If this lesion grew by 24.3 mm in every direction, would it contact the lung upper lobe right? Answer yes or no.",,,L2,,
lung_010_lesion2_vertebrae_T10_g27.6,images/lung_010_lesion2_vertebrae_T10_g27.6.png,Task06_Lung,"If this lesion grew by 27.6 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
lung_010_lesion1_aorta_g20.2,images/lung_010_lesion1_aorta_g20.2.png,Task06_Lung,"If this lesion grew by 20.2 mm in every direction, would it contact the aorta? Answer yes or no.",,,L5,,
lung_010_lesion1_vertebrae_T9_g6.8,images/lung_010_lesion1_vertebrae_T9_g6.8.png,Task06_Lung,"If this lesion grew by 6.8 mm in every direction, would it contact the vertebrae T9? Answer yes or no.",,,L1,,
lung_022_lesion1_trachea_g21.4,images/lung_022_lesion1_trachea_g21.4.png,Task06_Lung,"If this lesion grew by 21.4 mm in every direction, would it contact the trachea? Answer yes or no.",,,L4,,
lung_022_lesion1_liver_g4,images/lung_022_lesion1_liver_g4.png,Task06_Lung,"If this lesion grew by 4 mm in every direction, would it contact the liver? Answer yes or no.",,,L3,,
lung_022_lesion1_vertebrae_T8_g28.5,images/lung_022_lesion1_vertebrae_T8_g28.5.png,Task06_Lung,"If this lesion grew by 28.5 mm in every direction, would it contact the vertebrae T8? Answer yes or no.",,,L1,,
lung_023_lesion1_aorta_g13.2,images/lung_023_lesion1_aorta_g13.2.png,Task06_Lung,"If this lesion grew by 13.2 mm in every direction, would it contact the aorta? Answer yes or no.",,,L5,,
lung_026_lesion1_sternum_g1,images/lung_026_lesion1_sternum_g1.png,Task06_Lung,"If this lesion grew by 1 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
lung_026_lesion1_esophagus_g40.7,images/lung_026_lesion1_esophagus_g40.7.png,Task06_Lung,"If this lesion grew by 40.7 mm in every direction, would it contact the esophagus? Answer yes or no.",,,L4,,
lung_036_lesion1_stomach_g11.3,images/lung_036_lesion1_stomach_g11.3.png,Task06_Lung,"If this lesion grew by 11.3 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
lung_036_lesion1_liver_g41,images/lung_036_lesion1_liver_g41.png,Task06_Lung,"If this lesion grew by 41 mm in every direction, would it contact the liver? Answer yes or no.",,,L3,,
lung_041_lesion1_lung_middle_lobe_right_g19.3,images/lung_041_lesion1_lung_middle_lobe_right_g19.3.png,Task06_Lung,"If this lesion grew by 19.3 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
lung_041_lesion1_trachea_g1,images/lung_041_lesion1_trachea_g1.png,Task06_Lung,"If this lesion grew by 1 mm in every direction, would it contact the trachea? Answer yes or no.",,,L4,,
lung_041_lesion1_spinal_cord_g11.7,images/lung_041_lesion1_spinal_cord_g11.7.png,Task06_Lung,"If this lesion grew by 11.7 mm in every direction, would it contact the spinal cord? Answer yes or no.",,,L5,,
lung_042_lesion1_lung_middle_lobe_right_g24.9,images/lung_042_lesion1_lung_middle_lobe_right_g24.9.png,Task06_Lung,"If this lesion grew by 24.9 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
lung_044_lesion1_lung_upper_lobe_left_g1.8,images/lung_044_lesion1_lung_upper_lobe_left_g1.8.png,Task06_Lung,"If this lesion grew by 1.8 mm in every direction, would it contact the lung upper lobe left? Answer yes or no.",,,L2,,
lung_045_lesion1_vertebrae_T9_g19.2,images/lung_045_lesion1_vertebrae_T9_g19.2.png,Task06_Lung,"If this lesion grew by 19.2 mm in every direction, would it contact the vertebrae T9? Answer yes or no.",,,L1,,
lung_045_lesion1_spinal_cord_g24.4,images/lung_045_lesion1_spinal_cord_g24.4.png,Task06_Lung,"If this lesion grew by 24.4 mm in every direction, would it contact the spinal cord? Answer yes or no.",,,L5,,
lung_049_lesion1_esophagus_g26.5,images/lung_049_lesion1_esophagus_g26.5.png,Task06_Lung,"If this lesion grew by 26.5 mm in every direction, would it contact the esophagus? Answer yes or no.",,,L4,,
lung_055_lesion1_trachea_g19,images/lung_055_lesion1_trachea_g19.png,Task06_Lung,"If this lesion grew by 19 mm in every direction, would it contact the trachea? Answer yes or no.",,,L4,,
lung_064_lesion1_lung_lower_lobe_left_g19.8,images/lung_064_lesion1_lung_lower_lobe_left_g19.8.png,Task06_Lung,"If this lesion grew by 19.8 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
lung_069_lesion1_heart_g1.4,images/lung_069_lesion1_heart_g1.4.png,Task06_Lung,"If this lesion grew by 1.4 mm in every direction, would it contact the heart? Answer yes or no.",,,L5,,
lung_074_lesion1_sternum_g20.9,images/lung_074_lesion1_sternum_g20.9.png,Task06_Lung,"If this lesion grew by 20.9 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
lung_083_lesion1_liver_g18.9,images/lung_083_lesion1_liver_g18.9.png,Task06_Lung,"If this lesion grew by 18.9 mm in every direction, would it contact the liver? Answer yes or no.",,,L3,,
pancreas_016_lesion1_portal_vein_and_splenic_vein_g15.2,images/pancreas_016_lesion1_portal_vein_and_splenic_vein_g15.2.png,Task07_Pancreas,"If this lesion grew by 15.2 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
pancreas_021_lesion2_kidney_right_g42.3,images/pancreas_021_lesion2_kidney_right_g42.3.png,Task07_Pancreas,"If this lesion grew by 42.3 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
pancreas_045_lesion1_lung_lower_lobe_left_g21.2,images/pancreas_045_lesion1_lung_lower_lobe_left_g21.2.png,Task07_Pancreas,"If this lesion grew by 21.2 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
pancreas_046_lesion1_duodenum_g1,images/pancreas_046_lesion1_duodenum_g1.png,Task07_Pancreas,"If this lesion grew by 1 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
pancreas_093_lesion1_adrenal_gland_right_g29.9,images/pancreas_093_lesion1_adrenal_gland_right_g29.9.png,Task07_Pancreas,"If this lesion grew by 29.9 mm in every direction, would it contact the adrenal gland right? Answer yes or no.",,,L4,,
pancreas_096_lesion1_adrenal_gland_left_g27.1,images/pancreas_096_lesion1_adrenal_gland_left_g27.1.png,Task07_Pancreas,"If this lesion grew by 27.1 mm in every direction, would it contact the adrenal gland left? Answer yes or no.",,,L4,,
pancreas_179_lesion1_kidney_right_g42.8,images/pancreas_179_lesion1_kidney_right_g42.8.png,Task07_Pancreas,"If this lesion grew by 42.8 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
pancreas_199_lesion1_lung_lower_lobe_left_g28.9,images/pancreas_199_lesion1_lung_lower_lobe_left_g28.9.png,Task07_Pancreas,"If this lesion grew by 28.9 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
pancreas_212_lesion1_inferior_vena_cava_g13.1,images/pancreas_212_lesion1_inferior_vena_cava_g13.1.png,Task07_Pancreas,"If this lesion grew by 13.1 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
pancreas_214_lesion1_kidney_left_g27.7,images/pancreas_214_lesion1_kidney_left_g27.7.png,Task07_Pancreas,"If this lesion grew by 27.7 mm in every direction, would it contact the kidney left? Answer yes or no.",,,L4,,
pancreas_217_lesion1_aorta_g17.9,images/pancreas_217_lesion1_aorta_g17.9.png,Task07_Pancreas,"If this lesion grew by 17.9 mm in every direction, would it contact the aorta? Answer yes or no.",,,L5,,
pancreas_222_lesion1_stomach_g27.8,images/pancreas_222_lesion1_stomach_g27.8.png,Task07_Pancreas,"If this lesion grew by 27.8 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
pancreas_235_lesion1_stomach_g8.6,images/pancreas_235_lesion1_stomach_g8.6.png,Task07_Pancreas,"If this lesion grew by 8.6 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
pancreas_246_lesion1_aorta_g16.2,images/pancreas_246_lesion1_aorta_g16.2.png,Task07_Pancreas,"If this lesion grew by 16.2 mm in every direction, would it contact the aorta? Answer yes or no.",,,L5,,
pancreas_274_lesion2_inferior_vena_cava_g11.6,images/pancreas_274_lesion2_inferior_vena_cava_g11.6.png,Task07_Pancreas,"If this lesion grew by 11.6 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
pancreas_280_lesion1_small_bowel_g20.9,images/pancreas_280_lesion1_small_bowel_g20.9.png,Task07_Pancreas,"If this lesion grew by 20.9 mm in every direction, would it contact the small bowel? Answer yes or no.",,,L3,,
pancreas_364_lesion1_liver_g21.9,images/pancreas_364_lesion1_liver_g21.9.png,Task07_Pancreas,"If this lesion grew by 21.9 mm in every direction, would it contact the liver? Answer yes or no.",,,L3,,
pancreas_380_lesion1_kidney_left_g1.8,images/pancreas_380_lesion1_kidney_left_g1.8.png,Task07_Pancreas,"If this lesion grew by 1.8 mm in every direction, would it contact the kidney left? Answer yes or no.",,,L4,,
pancreas_391_lesion1_lung_upper_lobe_left_g41.3,images/pancreas_391_lesion1_lung_upper_lobe_left_g41.3.png,Task07_Pancreas,"If this lesion grew by 41.3 mm in every direction, would it contact the lung upper lobe left? Answer yes or no.",,,L2,,
pancreas_402_lesion1_lung_lower_lobe_left_g44.9,images/pancreas_402_lesion1_lung_lower_lobe_left_g44.9.png,Task07_Pancreas,"If this lesion grew by 44.9 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
pancreas_402_lesion1_portal_vein_and_splenic_vein_g1.5,images/pancreas_402_lesion1_portal_vein_and_splenic_vein_g1.5.png,Task07_Pancreas,"If this lesion grew by 1.5 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
pancreas_409_lesion1_lung_lower_lobe_left_g1,images/pancreas_409_lesion1_lung_lower_lobe_left_g1.png,Task07_Pancreas,"If this lesion grew by 1 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
pancreas_409_lesion1_vertebrae_T10_g41.9,images/pancreas_409_lesion1_vertebrae_T10_g41.9.png,Task07_Pancreas,"If this lesion grew by 41.9 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
pancreas_415_lesion1_vertebrae_T10_g42.3,images/pancreas_415_lesion1_vertebrae_T10_g42.3.png,Task07_Pancreas,"If this lesion grew by 42.3 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
colon_001_lesion1_lung_lower_lobe_left_g38.3,images/colon_001_lesion1_lung_lower_lobe_left_g38.3.png,Task10_Colon,"If this lesion grew by 38.3 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
colon_007_lesion1_pancreas_g42.2,images/colon_007_lesion1_pancreas_g42.2.png,Task10_Colon,"If this lesion grew by 42.2 mm in every direction, would it contact the pancreas? Answer yes or no.",,,L4,,
colon_025_lesion1_kidney_right_g24.7,images/colon_025_lesion1_kidney_right_g24.7.png,Task10_Colon,"If this lesion grew by 24.7 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
colon_026_lesion1_small_bowel_g2.4,images/colon_026_lesion1_small_bowel_g2.4.png,Task10_Colon,"If this lesion grew by 2.4 mm in every direction, would it contact the small bowel? Answer yes or no.",,,L3,,
colon_051_lesion1_small_bowel_g10.3,images/colon_051_lesion1_small_bowel_g10.3.png,Task10_Colon,"If this lesion grew by 10.3 mm in every direction, would it contact the small bowel? Answer yes or no.",,,L3,,
colon_066_lesion1_kidney_right_g10.7,images/colon_066_lesion1_kidney_right_g10.7.png,Task10_Colon,"If this lesion grew by 10.7 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
colon_074_lesion1_lung_lower_lobe_left_g32,images/colon_074_lesion1_lung_lower_lobe_left_g32.png,Task10_Colon,"If this lesion grew by 32 mm in every direction, would it contact the lung lower lobe left? Answer yes or no.",,,L2,,
colon_074_lesion4_kidney_right_g31.9,images/colon_074_lesion4_kidney_right_g31.9.png,Task10_Colon,"If this lesion grew by 31.9 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
colon_086_lesion1_spleen_g26.5,images/colon_086_lesion1_spleen_g26.5.png,Task10_Colon,"If this lesion grew by 26.5 mm in every direction, would it contact the spleen? Answer yes or no.",,,L3,,
colon_096_lesion1_small_bowel_g22.8,images/colon_096_lesion1_small_bowel_g22.8.png,Task10_Colon,"If this lesion grew by 22.8 mm in every direction, would it contact the small bowel? Answer yes or no.",,,L3,,
colon_111_lesion1_duodenum_g15.8,images/colon_111_lesion1_duodenum_g15.8.png,Task10_Colon,"If this lesion grew by 15.8 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
colon_111_lesion1_portal_vein_and_splenic_vein_g25.2,images/colon_111_lesion1_portal_vein_and_splenic_vein_g25.2.png,Task10_Colon,"If this lesion grew by 25.2 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
colon_115_lesion1_inferior_vena_cava_g26.4,images/colon_115_lesion1_inferior_vena_cava_g26.4.png,Task10_Colon,"If this lesion grew by 26.4 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
colon_120_lesion1_inferior_vena_cava_g32,images/colon_120_lesion1_inferior_vena_cava_g32.png,Task10_Colon,"If this lesion grew by 32 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
colon_129_lesion2_inferior_vena_cava_g23.5,images/colon_129_lesion2_inferior_vena_cava_g23.5.png,Task10_Colon,"If this lesion grew by 23.5 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
colon_141_lesion1_heart_g1.2,images/colon_141_lesion1_heart_g1.2.png,Task10_Colon,"If this lesion grew by 1.2 mm in every direction, would it contact the heart? Answer yes or no.",,,L5,,
colon_141_lesion1_lung_upper_lobe_left_g18.6,images/colon_141_lesion1_lung_upper_lobe_left_g18.6.png,Task10_Colon,"If this lesion grew by 18.6 mm in every direction, would it contact the lung upper lobe left? Answer yes or no.",,,L2,,
colon_149_lesion1_kidney_right_g3.6,images/colon_149_lesion1_kidney_right_g3.6.png,Task10_Colon,"If this lesion grew by 3.6 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
colon_171_lesion1_kidney_right_g26.2,images/colon_171_lesion1_kidney_right_g26.2.png,Task10_Colon,"If this lesion grew by 26.2 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
colon_193_lesion1_inferior_vena_cava_g40.4,images/colon_193_lesion1_inferior_vena_cava_g40.4.png,Task10_Colon,"If this lesion grew by 40.4 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
